,Name,AER,cgDIST,GT,Deadweight
11505,STENA FORETELLER,36.23821138211382,18.05452041477641,24688.0,12300.0
11506,STENA FORECASTER,39.573170731707314,19.716056383668178,24688.0,12300.0
11507,STENA FORERUNNER,40.05772357723577,19.95746921581335,24688.0,12300.0
11508,MASSIMO MURA,26.403892576946287,15.06391220142027,23235.0,13256.0
11509,ML FREYJA,21.691958698372968,11.490904570505117,24133.0,12784.0
11510,HURST POINT,26.67620913063131,15.239939746072736,23235.0,13274.0
11511,EDDYSTONE,24.715986138315504,14.120077469335055,23235.0,13274.0
11512,FINNMERCHANT,27.59529908091005,15.765009683666882,23235.0,13274.0
11513,HARTLAND POINT,26.500678017176437,15.139659995696148,23235.0,13274.0
11514,ANVIL POINT,23.893325297574204,13.65009683666882,23235.0,13274.0
11515,FINNSUN,34.19172413793103,14.661107168204401,33816.0,14500.0
11516,FINNBREEZE,33.741379310344826,14.468003312041636,33816.0,14500.0
11517,FINNSEA,33.75586206896552,14.47421339011119,33816.0,14500.0
11518,SHIPPER,29.019862632262853,23.614803625377643,6620.0,5387.0
11519,EXPORTER,29.5618413754853,24.154078549848943,6620.0,5409.0
11520,POLARIS VG,24.01909454881429,19.634944612286002,7944.0,6494.0
11521,FINNMASTER,41.05275048006325,29.231882892302743,12433.0,8853.0
11522,VASALAND,22.06138306138306,13.820580218068535,20544.0,12870.0
11523,AKRITAS,18.34382194934766,11.727589421520044,20381.0,13030.0
11524,ORANJEBORG,20.793997091101414,17.197769150855706,18289.0,15126.0
11525,FINNHAWK,35.81905966203012,26.697797960757434,11671.0,8699.0
11526,FINNKRAFT,38.39232360376925,28.6256533287636,11671.0,8702.0
11527,VINTERLAND,17.26131976131976,10.477788430808564,18774.0,11396.0
11528,TUNDRALAND,25.097826086956523,14.975354548599102,23128.0,13800.0
11529,TAVASTLAND,21.485588972431078,14.826617087512972,23128.0,15960.0
11530,THULELAND,24.803258145363408,17.11604980975441,23128.0,15960.0
11531,GEROITE NA ODESSA,24.355781057810578,16.23219592171329,19518.0,13008.0
11532,GEROITE NA SEVASTOPOL,32.770476772616135,21.974587560200842,19518.0,13088.0
11533,CAMILLA D,30.628342245989305,22.71690629647992,10085.0,7480.0
11534,CLEMENTINE,32.95287415846712,13.26440423580422,23986.0,9655.0
11535,VALENTINE,30.425531914893618,12.340434401967732,23987.0,9729.0
11536,MELUSINE,30.292938637064445,12.286655271605452,23987.0,9729.0
11537,VICTORINE,30.96668375192209,12.593488139408846,23987.0,9755.0
11538,MSC BRIDGE,38.30364372469636,22.415181956027293,21104.0,12350.0
11539,EPHESUS SEAWAYS,27.53042149197578,7.745307202513851,60465.0,17011.0
11540,TROY SEAWAYS,27.324099400570333,7.764988009592326,60465.0,17183.0
11541,IVAN,31.501130989101377,18.702234159443293,8191.0,4863.0
11542,NORRLAND,26.491389207807117,20.742538655160015,5562.0,4355.0
11543,TALOS,74.9154334038055,29.648584576767536,7171.0,2838.0
11544,MN TOUCAN,45.81001645897014,21.351232876712327,9125.0,4253.0
11545,MARIN,49.61052631578947,39.45914266577361,5972.0,4750.0
11546,SEA-CARGO EXPRESS,34.774,25.977887344987302,6693.0,5000.0
11547,ARROW,46.11407892469413,35.18275046016303,7606.0,5803.0
11548,COMMODORE GOODWILL,47.332694151486095,22.10639441160666,11166.0,5215.0
11549,CIUDAD DE CADIZ,70.53142857142858,15.780860448763026,15643.0,3500.0
11550,CITY OF HAMBURG,68.80428652002256,15.596752541072684,15643.0,3546.0
11551,ADLER,27.872681169091152,23.703325388718646,8811.0,7493.0
11552,SC ASTREA,23.02757793764988,16.12510495382032,9528.0,6672.0
11553,MY ROSE,20.8125,18.837209302325583,7955.0,7200.0
11554,SEA AMAZON,40.617107942973526,15.296057677557908,13038.0,4910.0
11555,SC AHTELA,26.665671641791043,20.750290360046456,8610.0,6700.0
11556,CLIPPER POINT,71.2370731707317,24.73677078392845,14759.0,5125.0
11557,SEATRUCK PACE,67.9980487804878,23.612033335591843,14759.0,5125.0
11558,SEATRUCK PANORAMA,67.92585365853658,23.58696388644217,14759.0,5125.0
11559,CLIPPER PENNANT,80.25756097560975,27.869096822277932,14759.0,5125.0
11560,TRANS CARRIER,29.520367023495066,21.334271074048026,9953.0,7193.0
11561,SEATRUCK PROGRESS,68.3433962264151,18.366291451171282,19722.0,5300.0
11562,SEATRUCK POWER,68.5320754716981,18.416996247845045,19722.0,5300.0
