,x,quantile_0.15,quantile_0.35,quantile_0.5,quantile_0.65,quantile_0.85,rating_a,rating_b,rating_d,rating_e
0,5562.000000000001,21.767008051372624,25.441717228960815,28.391744594994726,32.151253752172344,43.09412627459021,22.87585919437568,26.215609285285108,29.721075292631475,34.834824585264464
1,5708.039691168765,21.53462538424842,25.16110639572596,28.063347928739432,31.73412571231867,42.43169262220406,22.611262706758538,25.91238316036932,29.37730275653507,34.4319032281385
2,5857.913900747572,21.30472361407856,24.88359057526167,27.738749703613625,31.322409461472457,41.779441757630316,22.349726707521942,25.61266433836726,29.03750650849051,34.03364231130358
3,6011.7233104847855,21.07727625502495,24.609135630952704,27.41790598447271,30.9160347874747,41.137217153241934,22.091215797144095,25.316412251620932,28.701640556264515,33.63998792919393
4,6169.5712456978845,20.85225710400996,24.33770780269548,27.100773344353467,30.514932389093886,40.50486468752105,21.83569498555623,25.023586801703257,28.369659439598767,33.25088679974931
5,6331.563744684832,20.629640237697753,24.069273702745388,26.787308858596045,30.119033864207587,39.88223260807261,21.583129687406558,24.734148353990605,28.041518224056674,32.86628625720304
6,6497.809629957955,20.409400009507703,23.80380031160979,26.477470099034058,29.728271698137643,39.26917149520685,21.333485717379105,24.448057732298185,27.71717249494143,32.48613424495367
7,6668.4205813481885,20.191511046659866,23.54125497398639,26.171215128251802,29.34257925213641,38.66553422608123,21.086729285566612,24.165276213577446,27.396578351284376,32.11037930851887
8,6843.511211028791,19.975948247251864,23.281605394746318,25.86850249390797,28.961890752022544,38.07117593939409,20.842826992897045,23.88576552267484,27.079692399902935,31.738970588571114
9,7023.199140508945,19.762686777366998,23.02481963496167,25.569291223124925,28.586141276964195,37.48595400062055,20.601745826612888,23.60948782715116,26.766471749527167,31.371857814053584
10,7207.60507964894,19.551702068213324,22.7708661079767,25.273540816942933,28.2152667484076,36.909727967782935,20.36345315580282,23.336405732160834,26.456874004994383,31.008991295375946
11,7396.852907750043,19.342969813293124,22.519713575522452,24.98121124483856,27.84920391914961,36.342359557747564,20.12791672698503,23.06648227539045,26.150857261510836,30.650321917688725
12,7591.0697567735215,19.13646596560275,22.271331143874157,24.692262939306445,27.487890362551674,35.783712613039384,19.895104659741676,22.799680922055842,25.848380098979856,30.29580113423553
13,7790.386096744709,18.93216673486222,22.02568826005113,24.406656790503696,27.131264461893934,35.23365306916672,19.66498544240371,22.535965559956963,25.54940157639546,29.945380959782046
14,7994.935823399514,18.73004858477453,21.782754708058476,24.12435414095636,26.779265399867434,34.69204892244854,19.437527927785798,22.2753004945901,25.253881226300987,29.599013964121255
15,8204.856348132227,18.530088230314096,21.542500605170304,23.845316780326918,26.431833148202497,34.158770198336036,19.212701328970358,22.01765044431639,24.961779049311595,29.25665326565346
16,8420.28869030506,18.33226263504421,21.304896398253877,23.569506940242594,26.08890845743195,33.63368892022125,18.990475215140616,21.76298053558657,24.673055508700426,28.918252525040952
17,8641.377571981431,18.136549008463174,21.06991286013441,23.296887289183125,25.750432846786897,33.116679078725085,18.77081950746157,21.511256298220555,24.38767152504703,28.58376593893568
18,8868.271515146633,17.94292480337865,20.837521085999843,23.027420927428018,25.41634859422373,32.607616601457615,18.553704475008892,21.262443660741965,24.105588470948028,28.253148233779818
19,9101.12294148118,17.75136771331017,20.607692489845373,22.761071382062017,25.08659872658039,32.10637932324307,18.339100730744693,21.01650894576642,23.826768165788735,27.926354659677813
20,9340.088274753898,17.561855669919293,20.38039880095709,22.497802602038334,24.76112700986057,31.612846956802404,18.126979227539902,20.77341886544317,23.55117287057526,27.6033409843393
21,9585.328045903494,17.3743668404672,20.15561206043451,22.23757895329921,24.439877939643733,31.1269010638869,17.91731125424275,20.533140516949615,23.278765282826594,27.28406348709234
22,9837.007000879228,17.188879625299506,19.933304617751403,21.980365213952595,24.12279673161968,30.648425026855122,17.710068431792546,20.295641378037708,23.00950853152545,26.968478952965512
23,10095.29421131313,17.005372655357807,19.71344912735455,21.726126569504917,23.809829312245913,30.177304020686986,17.505222709378597,20.060889302632102,22.74336617212785,26.656544666838847
24,10360.363188098094,16.823824789717925,19.496018545300014,21.474828608148798,23.5009223095261,29.713424985427878,17.30274636064342,19.82885251647906,22.48030218163018,26.34821840766215
25,10632.391997948162,16.644215113154296,19.280986125926557,21.226437316105287,23.196023043908387,29.256676599056604,17.102611979929875,19.599499612845662,22.220280953693354,26.04345844274022
26,10911.563383019282,16.4665229337305,19.0683254185657,20.980919073020107,22.895079519301593,28.806949250770163,16.90479247857182,19.37279954826895,21.96326729382352,25.742223522084366
27,11198.06488367094,16.290727780415402,18.858010264288055,20.738240647413026,22.59804041420806,28.3641350146792,16.709261081227574,19.148721638354075,21.709226414608338,25.444472872829046
