,x,quantile_0.15,quantile_0.35,quantile_0.5,quantile_0.65,quantile_0.85,rating_a,rating_b,rating_d,rating_e
0,1599.9999999999998,45.827041632998466,73.29559667408157,83.40006709437876,107.3192139950238,148.65145023025426,60.501122802135775,74.65480761445708,95.90514962994244,107.05370680648733
1,1646.2718109278817,45.36116817056842,72.2726959315989,82.21380794366624,105.61696144780821,145.82743345357568,59.640571809158786,73.59293858050158,94.54102169440701,105.53100492216895
2,1693.8817971598546,44.90003073462544,71.2640706159693,81.04442181022684,103.94170931949836,143.0570661417534,58.79226105201911,72.54617327370464,93.19629673182666,104.02996152215432
3,1742.8686585675807,44.443581179162706,70.26952150179055,79.89166869699744,102.29302934072723,140.3393290851626,57.95601642903682,71.51429686288928,91.87069875975862,102.55026854224012
4,1793.272214218437,43.99177184762128,69.28885214401589,78.75531202056641,100.67050003515733,137.67322243668772,57.131666314905864,70.49709757257743,90.56395572125754,101.09162230004253
5,1845.1334347425243,43.54455556791438,68.32186883915192,77.63511856261758,99.07370661173307,135.0577653438818,56.31904152546995,69.49436663952547,89.2757994290391,99.65372343267002
6,1898.494475635724,43.10188564750229,67.36838058699763,76.5308584220672,97.50224085864133,132.4919955881137,55.517975283001164,68.50589826988002,88.0059655104402,98.23627683528547
7,1953.3987115258767,42.66371586851735,66.42819905291842,75.4423049678797,95.95570103895399,129.97496923057128,54.7283031819708,67.53148959694146,86.75419335316002,96.83899160053976
8,2009.8907714299353,42.230000482938436,65.50113853064494,74.36923479255586,94.43369178792656,127.5057602649886,53.94986315530863,66.57094063952925,85.52022605177402,95.46158095886837
9,2068.0165750307483,41.80069420781459,64.58701590559312,73.311427666282,92.935824011925,125.08346027697141,53.18249544114066,65.62405426093905,84.30381035500834,94.10376221963661
10,2127.823370002966,41.37575222053713,63.68565061869401,72.26866649173157,91.46171478895572,122.70717810979427,52.42604255000111,64.69063612848367,83.10469661376418,92.76525671312203
11,2189.359770418407,40.95513015415988,62.7968646307305,71.2407372595094,90.01098727077405,120.37603953654667,51.68034923251012,63.77049467360954,81.92263872988146,91.44578973332212
12,2252.675796262102,40.53878409276691,61.92048238716968,70.22742900422989,88.58327058654487,118.08918693850762,50.94526244751141,62.86344105258036,80.75739410563118,90.1450904815754
13,2317.8229140911367,40.126670566887434,61.05633078348796,69.22853376122012,87.17819974803103,115.84577898963042,50.220631330663345,61.96928910772039,79.60872359392668,88.86289201098484
14,2384.8540788693476,39.71874654895729,60.204239130978294,68.24384652383789,85.7954155562866,113.64499034702133,49.50630716347603,61.08785532920803,78.47639144924183,87.59893117163062
15,2453.8237770118667,39.314969448826545,59.36403912303629,67.27316520139841,84.43456450982931,111.48601134729851,48.80214334278998,60.21895881741434,77.36016527922928,86.3529485565642
16,2524.7880706745127,38.91529710931276,58.53556480191517,66.31629057769763,83.09529871426953,109.3680477087193,48.10799535068758,59.36242124577547,76.25981599702465,85.12468844856801
17,2597.804643324027,38.51968780179957,57.718652525946354,65.37302627012735,81.77727579337332,107.29032023896632,47.42372072483386,58.518066824195046,75.17511777423138,83.91389876767508
18,2672.9328466261913,38.12810022187981,56.913140937215864,64.44317868937001,80.48015880153552,105.25206454848541,46.749179029237794,57.685722262965236,74.10584799457214,82.72033101943249
19,2750.233748689949,37.74049348504312,56.11887092969324,63.52655699966859,79.20361613764148,103.25253076926847,46.08423182543075,56.865216737202765,73.05178720820149,81.54374024390327
20,2829.7701837067375,37.35682712240725,55.335685617804366,62.62297307966007,77.94732146029472,101.29098327897977,45.42874264405388,56.056381851789354,72.01271908666675,80.38388496539154
21,2911.6068030253846,36.977061076492916,54.563430305443234,61.732241483767,76.71095360438987,99.36670043032251,44.78257695685023,55.259051606811674,70.98843037851054,79.240527142884
22,2995.8101277040905,36.6011556970414,53.801952455416036,60.8541794041377,75.49419649900831,97.47897428554707,44.14560214905501,54.47306236349255,69.97871086550428,78.11343212119588
